
|KAPG        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |BENTONVILLE              |AR |US |BLED   -20070111ABM |0.75   kW |0.75   kW |70.0    |70.0    |77546      |N |36 |23 |37.00 |W |94  |10 |53.00 |AMERICAN FAMILY ASSOCIATION                                                 |   0.00 km |   0.00 mi |  0.00 deg |452.   m|452.0  m|-         |-       |1038004 |66.    m|1167646   |
|KARH        |88.1  MHz |FM |201 |ND  |-                   |C3 |-  |LIC    |FORREST CITY             |AR |US |BLED   -20090811AAY |4.2    kW |4.2    kW |154.9   |154.9   |81728      |N |35 |12 |11.00 |W |90  |33 |57.00 |AMERICAN FAMILY ASSOCIATION                                                 |   0.00 km |   0.00 mi |  0.00 deg |217.   m|217.0  m|-         |-       |1023024 |155.   m|1327209   |
|KBAP        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |BATESVILLE               |AR |US |BLED   -20101213AHT |0.25   kW |0.     kW |39.0    |0.0     |175536     |N |35 |47 |52.00 |W |91  |40 |16.00 |TONY V. HAMMACK MINISTRIES                                                  |   0.00 km |   0.00 mi |  0.00 deg |181.   m|0.0    m|-         |-       |-       |17.    m|1411889   |
|KFCF        |88.1  MHz |FM |201 |ND  |-                   |B  |-  |LIC    |FRESNO                   |CA |US |BLED   -19800318AE  |2.4    kW |2.4    kW |579.0   |579.0   |22641      |N |37 |4  |23.00 |W |119 |25 |51.00 |FRESNO FREE COLLEGE FOUNDATION                                              |   0.00 km |   0.00 mi |  0.00 deg |1409.  m|1409.0 m|-         |-       |-       |42.    m|18468     |
|KSRH        |88.1  MHz |FM |201 |ND  |-                   |D  |-  |LIC    |SAN RAFAEL               |CA |US |BLED   -19800401AC  |0.007  kW |0.007  kW |20.0    |20.0    |58923      |N |37 |58 |16.00 |W |122 |30 |47.00 |SAN RAFAEL HIGH SCHOOL                                                      |   0.00 km |   0.00 mi |  0.00 deg |21.    m|21.0   m|-         |-       |-       |18.    m|19061     |
|K201AD      |88.1  MHz |FX |201 |DA  |-                   |D  |-  |LIC    |CHINA LAKE, ETC.         |CA |US |BLFT   -19810105IA  |0.     kW |0.009  kW |398.0   |0.0     |28593      |N |35 |28 |48.00 |W |117 |40 |59.00 |INDIAN WELLS VALLEY TV BOOSTER, INC.                                        |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|1359.  m|13475     |350.    |-       |0.     m|26312     |
|K201BV      |88.1  MHz |FX |201 |DA  |-                   |D  |-  |LIC    |BENICIA-MARTINEZ         |CA |US |BLFT   -19910430TA  |0.004  kW |0.     kW |113.0   |0.0     |35499      |N |38 |0  |25.00 |W |122 |8  |34.00 |NORTHERN CALIFORNIA PUBLIC BROADCASTING INC                                 |   0.00 km |   0.00 mi |  0.00 deg |205.   m|0.0    m|14221     |0.      |-       |0.     m|159877    |
|K201CD      |88.1  MHz |FX |201 |DA  |-                   |D  |-  |LIC    |VICTORVILLE              |CA |US |BLFT   -19941011TC  |0.01   kW |0.01   kW |556.0   |556.0   |58793      |N |34 |14 |4.00  |W |117 |8  |24.00 |SAN BERNARDINO COMMNTY COLLEGE DIST.                                        |   0.00 km |   0.00 mi |  0.00 deg |1969.  m|1969.0 m|14464     |0.      |-       |0.     m|203154    |
|KEAR-FM     |88.1  MHz |FM |201 |ND  |-                   |B  |-  |LIC    |SACRAMENTO               |CA |US |BLED   -19970602KC  |0.     kW |8.4    kW |0.0     |303.0   |20746      |N |38 |14 |50.00 |W |121 |30 |3.00  |FAMILY STATIONS, INC.                                                       |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|305.   m|-         |-       |1012855 |305.   m|247670    |
|981019TA    |88.1  MHz |FX |201 |DA  |-                   |D  |-  |APP    |ALPINE                   |CA |US |BNPFT  -19981019TA  |0.     kW |0.01   kW |-18.0   |0.0     |91891      |N |32 |50 |2.00  |W |116 |42 |54.00 |CALVARY CHAPEL OF TWIN FALLS, INC.                                          |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|721.   m|16124     |270.0   |-       |11.    m|275862    |
